Country,Life_Expectancy ,Adult_Mortality,Code,Infant_Deaths
Afghanistan,58.19375,269.0625,AFG,78.25
Albania,75.15625,45.0625,ALB,0.6875
Algeria,73.61875,108.1875,DZA,20.3125
Angola,49.01875,328.5625,AGO,83.75
Antigua and Barbuda,75.05625,127.5,ATG,0
Argentina,75.15625,106,ARG,10.125
Armenia,73.4,117.375,ARM,1
Australia,81.8125,63.1875,AUS,1
Austria,81.48125,65.75,AUT,0
Azerbaijan,70.73125,115.1875,AZE,6.0625
Bahamas,74.2875,152.0625,BHS,0
Bahrain,75.725,65.375,BHR,0
Bangladesh,69.3,141.375,BGD,153.625
Barbados,74.35625,77.625,BRB,0
Belarus,69.90625,218.75,BLR,0.5625
Belgium,80.68125,70.1875,BEL,0.25
Belize,69.26875,155.5,BLZ,0
Benin,57.56875,269.375,BEN,25
Bhutan,66.1625,230.25,BTN,0.6875
Bolivia (Plurinational State of),67.70625,177.5,BOL,10.75
Bosnia and Herzegovina,75.96875,64.9375,BIH,0
Botswana,56.05,448.125,BWA,2
Brazil,73.38125,150.6875,BRA,68.25
Brunei Darussalam,76.4875,67.0625,BRN,0
Bulgaria,72.85,125.5,BGR,0.9375
Burkina Faso,55.64375,252.5,BFA,44.75
Burundi,55.5375,291.5625,BDI,23.25
Côte d'Ivoire,50.3875,417.3125,#N/A,61.5
Cabo Verde,72.51875,116.1875,CPV,0
Cambodia,64.34375,196.375,KHM,16.75
Cameroon,54.01875,294.875,CMR,54.9375
Canada,81.6875,64.625,CAN,2
Central African Republic,48.5125,333.0625,CAF,16.5
Chad,50.3875,227.75,TCD,44.875
Chile,79.45,63.625,CHL,2
China,74.2625,73.75,CHN,294.875
Colombia,73.2875,124.25,COL,13.875
Comoros,61.58125,240.9375,COM,1.6875
Congo,59.04375,322.75,#N/A,7.875
Cook Islands,,,#N/A,0
Costa Rica,78.59375,69.375,CRI,1
Croatia,76.11875,89,HRV,0
Cuba,77.975,57.5625,CUB,1
Cyprus,79.675,54.125,CYP,0
Czechia,76.76875,71.8125,#N/A,0
Democratic People's Republic of Korea,69.19375,160.8125,#N/A,9.9375
